fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,agntid,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
Lhakpa Tshering,Sherpa,Lhakpa Tshering Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,38,,27-Sep-82,13:30,13.5,27-Sep,9/27/82,Illness (non-AMS) (6770m),Route preparation,10,6770,3,0,0,0,0,0,1982,3,1982 Aut,,,Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,19,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Nima Dorje,Sherpa,Nima Dorje Sherpa,Nepal,,M,22,,14-Oct-82,10:30,10.5,14-Oct,10/14/82,Fall (8300m),Descending from summit bid,4,8300,5,0,0,0,1,0,1982,3,1982 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)",Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,20,EVER,Nepal,1,Lho La-W Ridge,,,,2,2,0,6,6,4,4,4,2,8586,KANG
Yasuo,Kato,Yasuo Kato,Japan,,M,33,1949,28-Dec-82,,0,28-Dec,12/28/82,Fall (8800m)(w),Descending from summit bid,4,8800,5,0,1,1,1,0,1982,4,1982 Win,Successful bid,Success,Japan (Yasuo Kato),0,0,0,EVER-824-02,1,EVER,Nepal,1,S Col-SE Ridge,,,,2,2,2,4,4,3,4,4,3,8849,EVER
Toshiaki,Kobayashi,Toshiaki Kobayashi,Japan,,M,34,1948,28-Dec-82,,0,28-Dec,12/28/82,Fall (8800m)(w),Descending from summit bid,4,8800,5,0,1,0,1,0,1982,4,1982 Win,No summit bid,Route/Camp Preparation or Fixing Rope,Japan (Yasuo Kato),0,0,0,EVER-824-02,3,EVER,Nepal,1,S Col-SE Ridge,,,,1,1,0,4,4,1,4,4,1,8300,EVER
Hironobu,Kamuro,Hironobu Kamuro,Japan,,M,31,1951,8-Oct-83,18:00,18,8-Oct,10/8/83,Fall (8800m),Descending from summit bid,4,8800,5,0,0,1,0,1,1983,3,1983 Aut,Successful bid,Success,Japan (Hiroshi Yoshino),0,0,0,EVER-833-06,3,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,1,1,1,1,1,1,8167,DHA1
Pasang Temba,Sherpa,Pasang Temba Sherpa,Nepal,,M,0,,8-Oct-83,17:00,17,8-Oct,10/8/83,Fall (8600m),Descending from summit bid,4,8600,5,0,0,0,0,1,1983,3,1983 Aut,,,Japan (Haruichi Kawamura),1,1,0,EVER-833-05,7,EVER,Nepal,1,S Pillar-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Hiroshi,Yoshino,Hiroshi Yoshino,Japan,,M,33,1950,9-Oct-83,6:30,6.5,9-Oct,10/9/83,Fall (8800m),Descending from summit bid,4,8800,5,0,0,1,0,1,1983,3,1983 Aut,Successful bid,Success,Japan (Hiroshi Yoshino),0,0,0,EVER-833-06,1,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,2,2,1,2,2,1,8167,DHA1
Ang Rinji,Sherpa,Ang Rinji Sherpa (Rimijung),Nepal, (Rimijung),M,49,,26-Mar-84,8:08,8.13,26-Mar,3/26/84,Avalanche (5600m),Route preparation,7,5600,3,0,0,0,0,1,1984,1,1984 Spr,No summit bid,Accident (Death or Injury to Self or Others),India (Darshan Kumar Khullar),1,1,0,EVER-841-02,27,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Jangbir,Rai,Jangbir Rai,Nepal,,M,0,,28-Mar-84,,0,28-Mar,3/28/84,AMS (4900m)(a)(e),Death enroute BC,1,4900,1,1,0,0,0,1,1984,1,1984 Spr,No summit bid,Did Not Climb or Intend to Smt,India (Darshan Kumar Khullar),1,0,0,EVER-841-02,25,EVER,Nepal,0,,,,,0,0,0,0,0,0,0,0,0,0,
Anthony Mark (Tony),Swierzy,Anthony Mark (Tony) Swierzy,UK,,M,27,1956,3-Apr-84,6:15,6.25,3-Apr,4/3/84,Avalanche (6500m),Route preparation,7,6500,3,0,0,0,0,1,1984,1,1984 Spr,No summit bid,Accident (Death or Injury to Self or Others),"UK (Bronco Lane, Brummie Stokes)",0,0,0,EVER-841-04,10,EVER,China,1,N Face (Hornbein Couloir),,,,0,0,0,1,1,0,0,0,0,0,
Christo Ivanov,Prodanov,Christo Ivanov Prodanov,Bulgaria,,M,41,1943,21-Apr-84,,0,21-Apr,4/21/84,Exposure/Frostbite (8600m),Descending from summit bid,3,8600,5,0,0,1,0,1,1984,1,1984 Spr,Successful bid,Success,Bulgaria (Avram Iliev Avramov),0,0,0,EVER-841-03,3,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,1,1,1,1,1,1,8516,LHOT
William Robert (Fred),From,William Robert (Fred) From,Australia,,M,28,1956,9-Oct-84,8:30,8.5,9-Oct,10/9/84,Fall (8140m),Ascending in summit bid,4,8140,4,0,0,0,0,1,1984,3,1984 Aut,Aborted above high camp,Accident (Death or Injury to Self or Others),New Zealand (Peter Hillary),0,0,0,EVER-843-04,2,EVER,Nepal,1,W Cwm-W Ridge,,,,0,0,0,2,2,0,2,2,0,8230,LHOT
Craig Rupert,Nottle,Craig Rupert Nottle,Australia,,M,23,1961,9-Oct-84,7:30,7.5,9-Oct,10/9/84,Fall (8140m),Ascending in summit bid,4,8140,4,0,0,0,0,1,1984,3,1984 Aut,Aborted above high camp,Accident (Death or Injury to Self or Others),New Zealand (Peter Hillary),0,0,0,EVER-843-04,6,EVER,Nepal,1,W Cwm-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Jozef,Psotka,Jozef Psotka,Czechoslovakia,,M,50,1934,15-Oct-84,,0,15-Oct,10/15/84,Fall (7900m),Descending from summit bid,4,7900,5,0,0,1,0,1,1984,3,1984 Aut,Successful bid,Success,Czechoslovakia (Frantisek Kele),0,0,0,EVER-843-06,17,EVER,Nepal,1,S Pillar up; SE Ridge-S Col down,,,,0,0,0,3,3,1,3,3,1,8586,KANG
Ang Dorje,Sherpa,Ang Dorje Sherpa (Thamo),Nepal, (Thamo),M,35,,24-Oct-84,10:00,10,24-Oct,10/24/84,Fall (8400m),Ascending in summit bid,4,8400,4,0,0,0,0,1,1984,3,1984 Aut,Aborted above high camp,Accident (Death or Injury to Self or Others),Nepal (Yogendra Thapa),1,1,0,EVER-843-02,28,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Yogendra Bahadur,Thapa,Yogendra Bahadur Thapa,Nepal,,M,36,1948,24-Oct-84,10:00,10,24-Oct,10/24/84,Fall (8400m),Ascending in summit bid,4,8400,4,0,0,0,1,0,1984,3,1984 Aut,Aborted above high camp,Accident (Death or Injury to Self or Others),Nepal (Yogendra Thapa),0,0,0,EVER-843-02,2,EVER,Nepal,1,S Col-SE Ridge,,,,2,2,0,7,7,3,3,3,0,8400,EVER
Juanjo,Navarro,Juanjo Navarro,Spain,,M,0,,12-May-85,,0,12-May,5/12/85,Fall (7500m),Ascending in summit bid,4,7500,4,0,0,0,0,1,1985,1,1985 Spr,No summit bid,Accident (Death or Injury to Self or Others),Spain (Mari Abrego Santesteban),0,0,0,EVER-851-04,3,EVER,China,1,N Col-N Face,,,,0,0,0,0,0,0,0,0,0,0,
Shinichi,Ishii,Shinichi Ishii,Japan,,M,33,1952,17-Sep-85,,0,17-Sep,9/17/85,Avalanche (6900m),Route preparation,7,6900,3,0,0,0,0,0,1985,3,1985 Aut,,,Japan (Tsuneo Hasegawa),0,0,0,EVER-853-02,4,EVER,China,1,N Col-NE Ridge,,,,0,0,0,1,1,0,1,1,0,7700,DHA1
Kiran Inder,Kumar,Kiran Inder Kumar,India,,M,40,1945,7-Oct-85,15:30,15.5,7-Oct,10/7/85,Fall (8500m),Descending from summit bid,4,8500,5,0,0,0,1,0,1985,3,1985 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)","India (Prem Chand, Jagit Singh)",0,0,0,EVER-853-03,5,EVER,Nepal,1,S Col-SE Ridge,,,,1,1,0,3,3,0,2,2,0,7985,EVER
Jai,Bahaguna,Jai Bahaguna,India,,M,37,1948,10-Oct-85,,0,10-Oct,10/10/85,Exposure/Frostbite (7900m)(w),Route preparation,3,7900,3,0,1,0,1,0,1985,3,1985 Aut,Aborted at high camp,"Bad Weather (Storms, High Winds)","India (Prem Chand, Jagit Singh)",0,0,0,EVER-853-03,3,EVER,Nepal,1,S Col-SE Ridge,,,,1,1,0,1,1,0,1,1,0,7985,EVER
Ranmit Singh,Bakshi,Ranmit Singh Bakshi,India,,M,24,1960,10-Oct-85,,0,10-Oct,10/10/85,Exposure/Frostbite (7950m)(w),Route preparation,3,7950,3,0,1,0,1,0,1985,3,1985 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)","India (Prem Chand, Jagit Singh)",0,0,0,EVER-853-03,11,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Vijay Pal Singh,Negi,Vijay Pal Singh Negi,India,,M,28,1957,10-Oct-85,,0,10-Oct,10/10/85,Exposure/Frostbite (7900m)(w),Route preparation,3,7900,3,0,1,0,1,0,1985,3,1985 Aut,Aborted at high camp,"Bad Weather (Storms, High Winds)","India (Prem Chand, Jagit Singh)",0,0,0,EVER-853-03,27,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Maddirati Uday Bhaskar,Rao,Maddirati Uday Bhaskar Rao,India,,M,24,1961,10-Oct-85,,0,10-Oct,10/10/85,Exposure/Frostbite (7900m)(w),Route preparation,3,7900,3,0,1,0,1,0,1985,3,1985 Aut,Aborted at high camp,"Bad Weather (Storms, High Winds)","India (Prem Chand, Jagit Singh)",0,0,0,EVER-853-03,32,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Victor-Hugo,Trujillo,Victor-Hugo Trujillo,Chile,,M,22,,16-Aug-86,,0,16-Aug,8/16/86,Fall (7000m),Route preparation,4,7000,3,0,0,0,0,0,1986,2,1986 Sum,No summit bid,Accident (Death or Injury to Self or Others),Chile (Claudio Lucero),0,0,0,EVER-862-03,9,EVER,China,1,N Col-NE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Simon,Burkhardt,Simon Burkhardt,Switzerland,,M,51,1934,28-Sep-86,,0,28-Sep,9/28/86,Avalanche (7500m),Route preparation,7,7500,3,0,0,0,1,0,1986,3,1986 Aut,Aborted above high camp,"Bad Conditions (Deep Snow, Avalanches, Falling Roc",Switzerland (Fredy Graf),0,0,0,EVER-863-02,3,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,1,1,1,1,1,1,8167,DHA1
Gyalu,Sherpa,Gyalu Sherpa,Nepal,,M,25,,4-Oct-86,,0,4-Oct,10/4/86,Icefall Collapse (5700m),Route preparation,6,5700,3,0,0,0,0,1,1986,3,1986 Aut,No summit bid,Accident (Death or Injury to Self or Others),Switzerland (Fredy Graf),1,1,0,EVER-863-02,27,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Dawa Norbu,Sherpa,Dawa Norbu Sherpa (Yilajung),Nepal, (Yilajung),M,29,1957,17-Oct-86,,0,17-Oct,10/17/86,Avalanche (6600m),Route preparation,7,6600,3,0,0,0,0,1,1986,3,1986 Aut,No summit bid,Accident (Death or Injury to Self or Others),USA (Andrew Harvard),1,1,0,EVER-863-03,21,EVER,China,1,N Col-NE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Tsuttin Dorji,Sherpa,Tsuttin Dorji Sherpa,Nepal,,M,21,,30-Jan-86,,0,30-Jan,1/30/87,Fall (7500m),Route preparation,4,7500,3,0,0,0,0,0,1986,4,1986 Win,No summit bid,Accident (Death or Injury to Self or Others),S Korea (Park Young-Bae),1,1,0,EVER-864-02,7,EVER,Nepal,1,SW Face (Bonington rte),,,,0,0,0,0,0,0,0,0,0,0,
Roger Gough,Marshall,Roger Gough Marshall,Canada,,M,45,1941,21-May-87,10:00,10,21-May,5/21/87,Fall (6400m)(a),Descending from summit bid,4,6400,5,1,0,0,0,1,1987,1,1987 Spr,Aborted at high camp,"Altitude (AMS Symptoms, Breathing or Unwell)",Canada (Roger Marshall),0,0,0,EVER-871-06,1,EVER,China,1,N Face (Japanese & Hornbein Couloirs),,,,2,1,0,7,6,3,5,4,1,8586,KANG
Masao,Yokoyama,Masao Yokoyama,Japan,,M,0,,2-Sep-87,,0,2-Sep,9/2/87,Other (5400m),Death at BC,11,5400,2,0,0,0,0,1,1987,3,1987 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Takashi Kawakami),0,0,0,EVER-873-01,3,EVER,China,0,,,,,0,0,0,0,0,0,0,0,0,0,
Mangal Singh (Nima),Tamang,Mangal Singh (Nima) Tamang,Nepal,,M,30,,20-Oct-87,,0,20-Oct,10/20/87,Avalanche (5800m),Death at BC,7,5800,2,0,0,0,0,1,1987,3,1987 Aut,No summit bid,Accident (Death or Injury to Self or Others),"UK (Doug Scott, Rick Allen)",1,0,0,EVER-873-06,10,EVER,China,1,NE Ridge,,,,0,0,0,1,1,0,1,1,0,7925,KANG
Hidetaka,Mizukoshi,Hidetaka Mizukoshi,Japan,,M,48,1939,21-Apr-88,10:00,10,21-Apr,4/21/88,Illness (non-AMS) (5350m),Death at BC,10,5350,2,0,0,0,0,1,1988,1,1988 Spr,No summit bid,Did Not Climb or Intend to Smt,"China (Shi Zhang-Chun, Toshio Imanishi, Kumar Khadga Bikram Shah)",0,0,0,EVER-881-01,49,EVER,China,0,,,,,0,0,0,0,0,0,0,0,0,0,
Michel,Parmentier,Michel Parmentier,France,,M,38,1950,20-Sep-88,,0,20-Sep,9/20/88,Exposure/Frostbite (7700m),Descending from summit bid,3,7700,5,0,0,0,0,1,1988,3,1988 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)",France (Benoit Chamoux),0,0,0,EVER-883-02,6,EVER,China,1,N Face (Japanese & Hornbein Couloirs),,,,0,0,0,1,1,1,1,1,1,8586,KANG
Narayan Kumar,Shrestha,Narayan Kumar Shrestha,Nepal,,M,28,1960,21-Sep-88,6:15,6.25,21-Sep,9/21/88,Avalanche (7270m),Route preparation,7,7270,3,0,0,0,0,1,1988,3,1988 Aut,No summit bid,Accident (Death or Injury to Self or Others),Spain (Lluis Belvis Del Rio),1,0,0,EVER-883-01,23,EVER,Nepal,1,Lho La-W Ridge (to 7800m),,,,2,2,1,5,5,2,3,3,1,8849,EVER
Lhakpa Sonam,Sherpa,Lhakpa Sonam Sherpa (Makalu-Barun),Nepal, (Makalu-Barun),M,30,,13-Oct-88,,0,13-Oct,10/13/88,Fall (8500m),Descending from summit bid,4,8500,5,0,0,1,1,0,1988,3,1988 Aut,Successful bid,Success,France (Serge Koenig),1,1,0,EVER-883-10,10,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Pasang Temba,Sherpa,Pasang Temba Sherpa (Makalu-Barun),Nepal, (Makalu-Barun),M,30,,13-Oct-88,,0,13-Oct,10/13/88,Fall (8700m),Descending from summit bid,4,8700,5,0,0,0,1,0,1988,3,1988 Aut,Aborted above high camp,Too Late in Day or Too Slow,France (Serge Koenig),1,1,0,EVER-883-10,11,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Dusan,Becik,Dusan Becik,Czechoslovakia,,M,34,1954,17-Oct-88,17:30,17.5,17-Oct,10/17/88,Fall (8300m),Descending from summit bid,4,8300,5,0,0,0,0,1,1988,3,1988 Aut,Aborted above high camp,Unknown,"Czechoslovakia (Ivan Fiala, Jaroslav Orsula)",0,0,0,EVER-883-08,3,EVER,Nepal,1,SW Face up; SE Ridge-S Col down,,,,1,1,0,2,2,1,2,2,1,8188,CHOY
Peter,Bozik,Peter Bozik,Czechoslovakia,,M,34,1954,17-Oct-88,17:30,17.5,17-Oct,10/17/88,Fall (8300m),Descending from summit bid,4,8300,5,0,0,0,0,1,1988,3,1988 Aut,Aborted above high camp,Other Illnesses or Pains,"Czechoslovakia (Ivan Fiala, Jaroslav Orsula)",0,0,0,EVER-883-08,4,EVER,Nepal,1,SW Face up; SE Ridge-S Col down,,,,1,1,0,3,3,1,3,3,1,8382,LSHR
Jaroslav,Jasko,Jaroslav Jasko,Czechoslovakia,,M,26,1961,17-Oct-88,17:30,17.5,17-Oct,10/17/88,Fall (8300m),Descending from summit bid,4,8300,5,0,0,0,0,1,1988,3,1988 Aut,Aborted above high camp,Unknown,"Czechoslovakia (Ivan Fiala, Jaroslav Orsula)",0,0,0,EVER-883-08,6,EVER,Nepal,1,SW Face up; SE Ridge-S Col down,,,,1,1,0,1,1,0,1,1,0,0,
Jozef,Just,Jozef Just,Czechoslovakia,,M,33,1955,17-Oct-88,17:30,17.5,17-Oct,10/17/88,Fall (8300m),Descending from summit bid,4,8300,5,0,0,1,0,1,1988,3,1988 Aut,Successful bid,Success,"Czechoslovakia (Ivan Fiala, Jaroslav Orsula)",0,0,0,EVER-883-08,7,EVER,Nepal,1,SW Face up; SE Ridge-S Col down,,,,2,2,0,3,3,0,3,3,0,8300,EVER
Lhakpa Dorje (Ang Lhakpa),Sherpa,Lhakpa Dorje (Ang Lhakpa) Sherpa (Khunde),Nepal, (Khunde),M,29,,23-Dec-88,8:00,8,23-Dec,12/23/88,Fall (8700m),Ascending in summit bid,4,8700,4,0,0,0,1,0,1988,4,1988 Win,Aborted above high camp,Accident (Death or Injury to Self or Others),Belgium (Herman Detienne),1,1,0,EVER-884-01,20,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Dimitar,Ilievski,Dimitar Ilievski,Yugoslavia,,M,35,1953,10-May-89,20:00,20,10-May,5/10/89,Fall (8500m),Descending from summit bid,4,8500,5,0,0,1,1,0,1989,1,1989 Spr,Successful bid,Success,Yugoslavia (Jovan Poposki),0,0,0,EVER-891-05,8,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,1,1,0,1,1,0,7400,MANA
Phu Dorje,Sherpa,Phu Dorje Sherpa (Pangboche),Nepal, (Pangboche),M,26,1962,16-May-89,16:00,16,16-May,5/16/89,Fall (8600m),Descending from summit bid,4,8600,5,0,0,1,1,0,1989,1,1989 Spr,Successful bid,Success,USA (Walt McConnell),1,1,0,EVER-891-01,21,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Eugeniusz (Genek),Chrobak,Eugeniusz (Genek) Chrobak,Poland,,M,49,1939,27-May-89,13:00,13,27-May,5/27/89,Avalanche (6000m),Expedition evacuation,7,6000,6,0,0,1,1,0,1989,1,1989 Spr,Successful bid,Success,Poland (Eugeniusz Chrobak),0,0,0,EVER-891-03,1,EVER,Nepal,1,Khumbutse-W Ridge-N Face (Hornbein Couloir),,,,1,1,0,4,4,1,4,4,1,8476,KANS
Miroslaw,Falco-Dasal,Miroslaw Falco-Dasal,Poland,,M,36,1952,27-May-89,13:00,13,27-May,5/27/89,Avalanche (6000m),Expedition evacuation,7,6000,6,0,0,0,1,0,1989,1,1989 Spr,Aborted above high camp,Too Late in Day or Too Slow,Poland (Eugeniusz Chrobak),0,0,0,EVER-891-03,8,EVER,Nepal,1,Khumbutse-W Ridge-N Face (Hornbein Couloir),,,,0,0,0,3,3,0,3,3,0,8200,LHOT
Miroslaw,Gardzielewski,Miroslaw Gardzielewski,Poland,,M,35,1953,27-May-89,13:00,13,27-May,5/27/89,Avalanche (6000m),Expedition evacuation,7,6000,6,0,0,0,1,0,1989,1,1989 Spr,Aborted above high camp,Too Late in Day or Too Slow,Poland (Eugeniusz Chrobak),0,0,0,EVER-891-03,9,EVER,Nepal,1,Khumbutse-W Ridge-N Face (Hornbein Couloir),,,,0,0,0,5,5,2,3,3,2,8188,CHOY
Zygmunt Andrzej (Zyga),Heinrich,Zygmunt Andrzej (Zyga) Heinrich,Poland,,M,51,1937,27-May-89,13:00,13,27-May,5/27/89,Avalanche (6000m),Expedition evacuation,7,6000,6,0,0,0,0,1,1989,1,1989 Spr,No summit bid,"Assisting, Guiding, Supporting or Accompanying Oth",Poland (Eugeniusz Chrobak),0,0,0,EVER-891-03,11,EVER,Nepal,1,Khumbutse-W Ridge-N Face (Hornbein Couloir),,,,2,2,0,8,8,3,8,8,3,8516,LHOT
Waclaw,Otreba,Waclaw Otreba,Poland,,M,41,1947,27-May-89,13:00,13,27-May,5/27/89,Avalanche (6000m),Expedition evacuation,7,6000,6,0,0,0,0,1,1989,1,1989 Spr,No summit bid,"Assisting, Guiding, Supporting or Accompanying Oth",Poland (Eugeniusz Chrobak),0,0,0,EVER-891-03,16,EVER,Nepal,1,Khumbutse-W Ridge-N Face (Hornbein Couloir),,,,0,0,0,4,3,1,3,3,1,8167,DHA1
Ang Phinjo,Sherpa,Ang Phinjo Sherpa (Khumjung),Nepal, (Khumjung),M,42,,12-Dec-89,15:05,15.08,12-Dec,12/12/90,AMS (6500m)(a),Route preparation,1,6500,3,1,0,0,0,1,1989,4,1989 Win,No summit bid,Accident (Death or Injury to Self or Others),S Korea (Kim Ha-Kyung),1,1,0,EVER-894-01,28,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Rafael,Gomez-Menor Palacios,Rafael Gomez-Menor Palacios,Spain,,M,24,1966,12-Sep-90,,0,12-Sep,9/12/90,Avalanche (6900m),Route preparation,7,6900,3,0,0,0,1,0,1990,3,1990 Aut,No summit bid,Accident (Death or Injury to Self or Others),Spain (Cesar Perez de Tudela),0,0,0,EVER-903-06,2,EVER,China,1,N Col-NE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Badri,Nath,Badri Nath,Nepal,,M,0,,12-Sep-90,,0,12-Sep,9/12/90,Avalanche (6900m),Route preparation,7,6900,3,0,0,0,1,0,1990,3,1990 Aut,No summit bid,Accident (Death or Injury to Self or Others),Spain (Cesar Perez de Tudela),1,0,0,EVER-903-06,12,EVER,China,1,N Col-NE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Ang Sona,Sherpa,Ang Sona Sherpa,Nepal,,M,0,,12-Sep-90,,0,12-Sep,9/12/90,Avalanche (6900m),Route preparation,7,6900,3,0,0,0,1,0,1990,3,1990 Aut,No summit bid,Accident (Death or Injury to Self or Others),Spain (Cesar Perez de Tudela),1,1,0,EVER-903-06,13,EVER,China,1,N Col-NE Ridge,,,,1,1,0,1,1,0,1,1,0,8530,EVER
Sang-Hun,Ham,Sang-Hun Ham,S Korea,,M,27,1963,7-Oct-90,17:00,17,7-Oct,10/7/90,Fall (8700m),Ascending in summit bid,4,8700,4,0,0,0,1,0,1990,3,1990 Aut,Aborted above high camp,Other,"S Korea (Nobuo Kuwahara, Roh Jong-Baek)",0,0,0,EVER-903-03,8,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Ruediger,Lang,Ruediger Lang,Germany,,M,35,1956,4-May-91,,0,4-May,5/4/91,Exposure/Frostbite (7900m)(w),Route preparation,3,7900,3,0,1,0,0,1,1991,1,1991 Spr,Aborted at high camp,Accident (Death or Injury to Self or Others),Austria (Marcus Schmuck),0,0,0,EVER-911-13,9,EVER,China,1,N Col-NE Ridge (to 8550m),,,,1,1,0,1,1,0,1,1,0,8000,EVER
Junichi,Futagami,Junichi Futagami,Japan,,M,39,1951,27-May-91,13:30,13.5,27-May,5/27/91,Fall (8830m),Descending from summit bid,4,8830,5,0,0,1,1,0,1991,1,1991 Spr,Successful bid,Success,Japan (Muneo Nukita),0,0,0,EVER-911-16,2,EVER,China,1,N Col-N Ridge-N Face,,,,0,0,0,0,0,0,0,0,0,0,
Raymond,Jacob,Raymond Jacob,India,,M,26,1966,2-May-92,6:00,6,2-May,5/2/92,Exposure/Frostbite (7900m)(w),Route preparation,3,7900,3,0,1,0,1,0,1992,1,1992 Spr,Aborted at high camp,Accident (Death or Injury to Self or Others),India (Deepak Kulkarni),0,0,0,EVER-921-03,5,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Deepak,Kulkarni,Deepak Kulkarni,India,,M,31,1960,2-May-92,6:00,6,2-May,5/2/92,Exposure/Frostbite (7800m)(w),Route preparation,3,7800,3,0,1,0,0,1,1992,1,1992 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),India (Deepak Kulkarni),0,0,0,EVER-921-03,1,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Subba Singh,Tamang,Subba Singh Tamang (Sigadi),Nepal, (Sigadi),M,43,,11-May-92,,0,11-May,5/11/92,Illness (non-AMS) (5350m),Death at BC,10,5350,2,0,0,0,0,1,1992,1,1992 Spr,No summit bid,Did Not Climb or Intend to Smt,Spain (Albino Quinteiro),1,0,0,EVER-921-08,18,EVER,Nepal,0,,,,,0,0,0,0,0,0,0,0,0,0,
Sher,Singh,Sher Singh,India,,M,0,,22-May-92,16:00,16,22-May,5/22/92,Crevasse (5500m),Expedition evacuation,5,5500,6,0,0,0,0,1,1992,1,1992 Spr,No summit bid,Did Not Climb or Intend to Smt,India (Hukam Singh),1,0,0,EVER-921-11,18,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Manabu,Hoshi,Manabu Hoshi,Japan,,M,28,,23-May-92,,0,23-May,5/23/92,Fall (8300m)(w),Ascending in summit bid,4,8300,4,0,1,0,1,0,1992,1,1992 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),"Japan (Motomu Ohmyia, Valeri Khrishchati)",0,0,0,EVER-921-13,6,EVER,China,1,NE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
